Iteration,ID,Fitness,Error
0,0,12312.991298471898,0.8499085484483019
0,1,12782.760960420776,0.9204869231401406
0,2,13490.644541641146,1.0268396246456049
0,3,14354.341738870902,1.156601823748633
0,4,14412.571740992395,1.1653503216635208
0,5,15201.320165470672,1.2838521883219158
0,6,15517.8554054029,1.3314085645136566
0,7,15889.869985241226,1.3873001780710976
0,8,16253.540833132969,1.4419382261317562
0,9,18802.221466194595,1.8248529847047168
0,10,19356.521222505504,1.9081311932850817
0,11,19963.193457475412,1.9992778632024357
0,12,19967.727886175697,1.9999591175143776
0,13,20246.310685441684,2.04181350442333
0,14,20724.278202291185,2.113623527988459
0,15,21861.952244637723,2.2845481136775425
0,16,22203.991488398024,2.3359362212136454
0,17,22270.920456992575,2.345991655197202
0,18,22784.93200078958,2.4232169472340113
0,19,23286.30548998884,2.498543493087266
0,20,23412.64292409263,2.51752447777834
0,21,23482.39180639402,2.5280035766817934
0,22,23838.276872901304,2.58147188595272
0,23,23911.853027197234,2.5925259956726614
0,24,23930.08058556476,2.595264511052398
0,25,24006.527970529984,2.6067499955724136
0,26,24184.3478065671,2.6334657161308743
0,27,24258.597847763158,2.644621070877878
0,28,24371.29633819386,2.6615529354257603
0,29,24493.858826911084,2.6799667708700547
0,30,24546.670959466668,2.6879012859775644
0,31,24629.78863416972,2.7003889173932873
0,32,24709.194123550624,2.712318828658447
0,33,24809.634375640555,2.7274090107633047
0,34,24921.598191055797,2.7442304974542964
0,35,24947.99645788558,2.7481965832159827
0,36,25013.281760818812,2.7580050722384035
0,37,25152.255585985848,2.77888455318297
0,38,25182.84451395725,2.783480245486366
0,39,25403.305382983446,2.8166023712415034
0,40,25473.102649684268,2.8270887394357374
0,41,25618.926958322925,2.848997439651882
0,42,25725.02339439181,2.8649374090131925
0,43,25787.698339035247,2.8743537168021707
0,44,25948.424706172438,2.8985013080186954
0,45,26148.03559937707,2.9284909253871803
0,46,26157.14421406119,2.9298594071606354
0,47,26205.639923893035,2.937145421257968
0,48,26348.75979773426,2.958647806149979
0,49,26349.356397977594,2.9587374395999992
0,50,26399.996798986973,2.9663456729247253
0,51,26568.18583416272,2.99161445825762
0,52,26629.725060881574,3.0008601353487943
0,53,26633.95656892084,3.0014958787441164
0,54,26652.12916911877,3.004226137187315
0,55,26827.892507776105,3.0306328887884773
0,56,26932.090169620053,3.0462875855799356
0,57,26965.505005170075,3.051307843324831
0,58,27065.543637815266,3.0663376859698417
0,59,27073.119713085583,3.0674759184323293
0,60,27135.158601714305,3.0767966649210194
0,61,27245.130550895505,3.0933188928629063
0,62,27322.620367764215,3.1049609927530373
0,63,27347.007807601007,3.108624971093901
0,64,27507.099128690243,3.132677152747933
0,65,27518.759115174416,3.1344289536019256
0,66,27592.70492329237,3.1455386002542625
0,67,27694.266976075116,3.16079732212667
0,68,27846.571182126696,3.1836795646224
0,69,27886.955265922,3.1897468849041464
0,70,28437.46243260584,3.2724552933602524
0,71,28523.914506904104,3.2854438862536215
0,72,28574.176069876346,3.2929952028059413
0,73,28840.99427842282,3.333082073080351
0,74,29073.301503741262,3.367983999961127
0,75,29124.361021691067,3.375655201576182
0,76,29236.13390471834,3.39244800251177
0,77,29691.17814760223,3.460814024579662
1,0,12312.991298471898,0.8499085484483019
1,1,12782.760960420776,0.9204869231401406
1,2,13106.949499116896,0.9691931338817452
1,3,13121.273232290532,0.9713451370628804
1,4,13162.950684557158,0.9776067735212076
1,5,13371.28046721415,1.0089063201944337
1,6,13376.262728616986,1.0096548570638502
1,7,13490.644541641146,1.0268396246456049
1,8,13504.768144892869,1.0289615602302988
1,9,13708.572355078182,1.059581183154775
1,10,13727.7633050913,1.0624644388658804
1,11,13754.131556286427,1.0664260150670715
1,12,13913.213288206747,1.0903265156560618
1,13,14152.242071775321,1.1262382920335519
1,14,14223.473481631214,1.1369401264469974
1,15,14265.383577701734,1.1432367153999
1,16,14312.28991059365,1.1502839408944787
1,17,14339.551891054287,1.154379791324262
1,18,14354.341738870902,1.156601823748633
1,19,14366.55698868518,1.1584370475789034
1,20,14412.571740992395,1.1653503216635208
1,21,14465.933861421576,1.1733674671606935
1,22,14506.771009485548,1.17950285599242
1,23,14624.504812772799,1.1971912278805286
1,24,14663.520298607245,1.203052929478252
1,25,14761.312713692101,1.217745299533068
1,26,14915.56378009352,1.2409200390765505
1,27,14925.04032375684,1.2423437986413524
1,28,14938.183476132068,1.244318430909265
1,29,15014.12058094983,1.2557272507436643
1,30,15081.459285571264,1.2658442436254904
1,31,15118.277113520931,1.2713757682573514
1,32,15201.320165470672,1.2838521883219158
1,33,15397.551244293256,1.3133340210777127
1,34,15427.681446809318,1.3178607942922653
1,35,15517.8554054029,1.3314085645136566
1,36,15534.992895021167,1.3339833075452474
1,37,15620.181086264975,1.346782014162406
1,38,15657.208628547607,1.3523450463563111
1,39,15860.15986714378,1.3828365185011688
1,40,15889.869985241226,1.3873001780710976
1,41,15937.193545520457,1.3944100879688186
1,42,16001.391466021818,1.404055208236451
1,43,16062.554525120835,1.4132443697597408
1,44,16221.511894581443,1.4371261860849525
1,45,16225.95557814134,1.4377938068121003
1,46,16253.540833132969,1.4419382261317562
1,47,16714.282955613922,1.5111602998218032
1,48,16779.258950379546,1.5209223182661578
1,49,16930.5449946036,1.5436515917373195
1,50,17295.098941369168,1.598422316912435
1,51,18573.71411724594,1.7905219527112293
1,52,18802.221466194595,1.8248529847047168
1,53,18994.015369392204,1.8536681744880115
1,54,19356.521222505504,1.9081311932850817
1,55,19409.303492231873,1.9160612217896444
1,56,19566.267031359144,1.9396434842787176
1,57,19753.80799450908,1.9678197107135036
1,58,19963.193457475412,1.9992778632024357
1,59,19967.727886175697,1.9999591175143776
1,60,20246.310685441684,2.04181350442333
1,61,20340.723652402303,2.0559981448921727
1,62,20724.278202291185,2.113623527988459
1,63,21334.58156271602,2.205315739590748
1,64,21499.00656064494,2.2300190145199728
1,65,21861.952244637723,2.2845481136775425
1,66,22203.991488398024,2.3359362212136454
1,67,22270.920456992575,2.345991655197202
1,68,22784.93200078958,2.4232169472340113
1,69,23286.30548998884,2.498543493087266
1,70,23412.64292409263,2.51752447777834
1,71,23482.39180639402,2.5280035766817934
1,72,23838.276872901304,2.58147188595272
1,73,23911.853027197234,2.5925259956726614
1,74,23930.08058556476,2.595264511052398
1,75,24006.527970529984,2.6067499955724136
