mean, median, std_dev
352.04868686868684, 353.0, 39.90829707020036
348.68767676767675, 350.0, 43.05283375809996
343.9822222222222, 346.5, 45.53917269348646
342.1939393939394, 345.0, 48.30332991048103
338.23373737373737, 342.0, 50.529632401972826
333.6939393939394, 339.0, 52.7356267328399
330.69555555555553, 337.0, 58.28722368489837
325.43636363636364, 334.0, 60.737619937446915
318.7137373737374, 329.0, 63.42349780570941
317.3614141414141, 331.0, 68.72942179461738
314.51131313131316, 330.0, 71.24722197875386
309.1658585858586, 328.0, 76.0211331995893
307.4131313131313, 327.0, 78.15852079602813
305.6591919191919, 327.0, 76.16984219461837
304.7371717171717, 330.5, 84.06284933587169
301.2820202020202, 332.0, 88.85552488725443
300.0129292929293, 330.0, 88.84596041080445
297.4668686868687, 327.0, 89.60709755716407
296.1911111111111, 328.0, 94.38147311015123
296.5212121212121, 325.0, 92.65374585386705
294.05454545454546, 323.0, 93.6402327336362
289.00767676767674, 321.0, 98.80066423966264
283.08484848484846, 321.0, 103.56660899008094
277.3921212121212, 317.0, 107.08150194658657
269.4472727272727, 310.0, 112.48041960978048
258.1212121212121, 300.0, 117.72060337569131
255.07959595959596, 298.0, 124.03548420210602
241.31616161616162, 285.0, 126.42025490368731
216.72505050505052, 271.0, 125.61323419447264
207.13939393939393, 271.0, 132.67390707985768
194.2581818181818, 270.5, 138.49427369822646
183.82949494949494, 259.5, 139.70939253454358
180.25454545454545, 272.0, 143.89585127686058
175.83151515151516, 269.0, 146.15428646207977
170.91030303030303, 76.5, 146.24799069640736
162.14646464646464, 56.0, 146.09526766797077
157.0351515151515, 42.0, 145.7615237114171
141.60464646464646, 38.0, 139.67151166336518
122.99959595959596, 33.0, 132.98275881200124
112.7529292929293, 29.5, 129.8422981559135
92.34707070707071, 27.0, 120.36113649466728
84.40525252525252, 26.0, 115.94607163662998
70.29636363636364, 25.0, 104.01267233841692
50.795353535353534, 23.0, 83.33730862412942
45.03959595959596, 20.0, 77.96408683618624
23.19090909090909, 16.0, 38.215694567739654
21.403434343434345, 15.0, 38.386385795851
19.725252525252525, 14.0, 38.56116836591329
12.966262626262626, 12.0, 6.222691707986473
10.618989898989899, 10.0, 4.95089860121311
9.844040404040404, 9.0, 4.912807405590832
8.843636363636364, 8.0, 4.474596636534716
8.56080808080808, 8.0, 4.265132223314882
8.023636363636363, 7.0, 4.176998935862067
7.328282828282828, 7.0, 3.728826836496141
6.627474747474747, 6.0, 3.3441963427190156
6.243636363636363, 6.0, 3.1002826376679207
5.9640404040404045, 5.0, 2.8488381183616136
5.816363636363636, 5.0, 2.8399770430660762
5.4905050505050506, 5.0, 2.6358466616462852
5.404242424242424, 5.0, 2.5862929638317933
5.154949494949495, 5.0, 2.6203613652162416
5.024040404040404, 5.0, 2.511715546845722
5.002424242424242, 5.0, 2.5047014745442264
5.026868686868687, 5.0, 2.5105605822808412
4.961414141414141, 5.0, 2.4947472129996893
4.951919191919192, 5.0, 2.485292364065885
4.874949494949495, 5.0, 2.402086371645112
4.873333333333333, 5.0, 2.395432522467909
4.866464646464647, 5.0, 2.393878267130774
4.815151515151515, 5.0, 2.323088489179504
4.794343434343435, 4.0, 2.32633763481223
4.77010101010101, 4.0, 2.324240940477755
4.759191919191919, 4.0, 2.3253958832147426
4.74949494949495, 4.0, 2.327324459301578
4.74949494949495, 4.0, 2.327324459301578
4.749090909090909, 4.0, 2.3328298551651123
4.7597979797979795, 4.0, 2.3395328808550606
4.6743434343434345, 4.0, 2.2445013221388743
4.582424242424242, 4.0, 2.157995277566233
4.602020202020202, 4.0, 2.1691118974903767
4.502222222222223, 4.0, 2.0423533442919513
4.511313131313131, 4.0, 2.0459798701897114
4.351313131313131, 4.0, 1.6448306820630054
4.341212121212121, 4.0, 1.6398258547152103
4.3361616161616165, 4.0, 1.6345157792037601
4.32949494949495, 4.0, 1.6323493472258424
4.3, 4.0, 1.6194212708635307
4.316161616161616, 4.0, 1.631520767346912
4.316161616161616, 4.0, 1.631520767346912
4.314141414141414, 4.0, 1.6368552073720601
4.314141414141414, 4.0, 1.6368552073720601
4.3028282828282824, 4.0, 1.6318212174330642
4.322828282828283, 4.0, 1.6502292711259516
4.323434343434344, 4.0, 1.6520071426070073
4.323434343434344, 4.0, 1.6520071426070073
4.323434343434344, 4.0, 1.6520071426070073
4.323434343434344, 4.0, 1.6520071426070073
4.323434343434344, 4.0, 1.6520071426070073
4.316767676767677, 4.0, 1.6523817082206762
4.316767676767677, 4.0, 1.6523817082206762
4.316767676767677, 4.0, 1.6523817082206762
4.316767676767677, 4.0, 1.6523817082206762
4.316767676767677, 4.0, 1.6523817082206762
4.334545454545455, 4.0, 1.6727158541551417
4.334545454545455, 4.0, 1.6727158541551417
4.334545454545455, 4.0, 1.6727158541551417
4.339595959595959, 4.0, 1.676705475297545
4.339595959595959, 4.0, 1.676705475297545
4.339595959595959, 4.0, 1.676705475297545
4.339595959595959, 4.0, 1.676705475297545
4.339595959595959, 4.0, 1.676705475297545
4.3397979797979795, 4.0, 1.6800949827634835
4.3397979797979795, 4.0, 1.6800949827634835
4.3397979797979795, 4.0, 1.6800949827634835
4.332727272727273, 4.0, 1.6778412165166456
4.332727272727273, 4.0, 1.6778412165166456
4.332727272727273, 4.0, 1.6778412165166456
4.332727272727273, 4.0, 1.6778412165166456
4.3397979797979795, 4.0, 1.6824981305154065
4.3397979797979795, 4.0, 1.6824981305154065
4.338787878787879, 4.0, 1.6855207945747763
4.338383838383838, 4.0, 1.6915838654587056
4.338383838383838, 4.0, 1.6915838654587056
4.338383838383838, 4.0, 1.6915838654587056
4.338383838383838, 4.0, 1.6915838654587056
4.338383838383838, 4.0, 1.6915838654587056
4.338383838383838, 4.0, 1.6915838654587056
4.338383838383838, 4.0, 1.6915838654587056
4.338383838383838, 4.0, 1.6915838654587056
4.338383838383838, 4.0, 1.6915838654587056
4.338383838383838, 4.0, 1.6915838654587056
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
4.3385858585858585, 4.0, 1.6906474822667705
