mean, median, std_dev
348.8834045860863,351.0, 44.72869889973671
344.35708651966667,347.0, 50.372094643060976
337.3122717441407,342.0, 52.61329833017161
327.66503206337234,333.0, 56.75730908409152
310.4939415795168,318.0, 58.26344211166893
302.06600562379754,310.0, 59.293867926126495
291.18634920634923,301.0, 60.99139312950685
283.18448392015034,290.0, 58.817782246153854
274.7696488593292,281.0, 58.290553293229024
259.8730581961512,265.0, 59.722231680996224
254.17608652900688,260.0, 57.70962631949268
249.39375279892522,256.0, 58.64559625730968
240.8222041888863,247.0, 59.5482507168678
237.6443650793651,242.0, 62.47728819079971
221.689366786141,225.0, 65.41787004356031
201.98803827751198,202.0, 68.11406871368916
181.9233385661957,177.0, 65.46844070993315
168.3524120603015,165.0, 61.23674281067994
168.07321146468067,164.0, 62.48884793342115
155.71257893838538,150.0, 57.73495963963171
138.93227824806772,137.0, 47.313970563940714
132.02486848397896,132.0, 49.389726193671216
117.19171691887587,117.0, 45.43175006139547
113.87723704866562,113.0, 45.88282575795786
116.2976683087028,117.0, 45.12955331500799
115.34256444894743,116.0, 44.70083876893824
113.64912885975505,108.0, 49.83937340047871
107.41724802338715,104.0, 45.56483863820633
95.01369109047127,95.0, 39.93196163551274
91.08585607940446,91.0, 39.290869763407635
85.63715158081355,84.0, 39.35123348908583
81.55339412360689,79.0, 38.315595245763426
81.84376899696049,79.0, 39.19015690652418
83.49192052980132,82.0, 39.77374033672689
80.36877394636015,77.0, 39.5905168561055
80.66774001192606,77.0, 39.88221526015863
82.59705882352941,80.0, 39.60757739912796
82.45729697332933,80.0, 39.696308051069884
82.9638640429338,83.0, 40.4770510019953
84.55414656043092,85.0, 40.34147202011476
83.58309108527132,82.0, 38.894063596914776
81.56584126984127,81.0, 38.069104435831335
83.02424242424243,83.0, 38.532473037952926
81.73957513768686,86.0, 36.83266930267292
81.39910044977512,86.0, 35.93828542113409
81.73868110236221,86.0, 35.66847043678603
83.28338430173292,88.0, 36.50122837590773
83.76912426445136,89.0, 35.67973191608168
84.37987421383647,89.0, 35.67993122928988
85.07988009169459,89.0, 36.64031833833922
87.90846681922197,90.0, 37.135037312490766
86.23456183456183,89.0, 36.54286322911273
87.59989337598294,90.0, 37.24396960600675
86.65302804498036,90.0, 36.78860545014484
87.61270931730357,99.0, 36.247338415513525
84.07979948516461,90.0, 35.30658491129179
82.93407356002776,90.0, 35.04578879515982
79.43585049580473,86.0, 34.66123683155483
79.45661306678255,86.0, 35.27618059294899
76.87796887796888,75.0, 35.677305401196826
75.40292717333804,74.0, 35.234279787202865
72.93908355795148,73.0, 36.887182241469596
69.91698841698842,72.0, 37.795538911182874
66.66347964653049,72.0, 37.2046294257224
61.22162162162162,67.0, 39.08333176192592
61.82616940581542,71.0, 39.63616687786914
60.28848114169215,51.5, 39.80683942070189
62.99960396039604,62.0, 41.062053980175854
60.517778245318745,51.0, 40.790172276833
59.46773861059575,44.0, 39.99396393617528
56.78969764837626,43.0, 40.090981429217415
