mean, median, std_dev
336.8083028083028, 345.0, 63.22933917710018
287.7925925925926, 308.0, 96.18504000331319
296.86853303471446, 314.0, 87.10919616058197
304.94904160822813, 316.5, 81.54222740793655
304.03038803179055, 315.0, 81.6203769875368
312.61007838745803, 322.0, 77.53193489563684
320.1171036204744, 327.0, 75.9821223443749
329.382292381606, 334.0, 73.15994798308841
319.49568693456763, 326.0, 71.7975157344528
306.98633818589025, 316.0, 77.91628747359813
304.48364218714255, 314.0, 82.72184744634428
280.14633006077605, 287.0, 83.79658577814685
281.3324182109357, 288.0, 84.63666406598621
286.0827489481066, 293.0, 86.17865629635587
283.82706374085683, 289.0, 83.12193067721631
287.8815117466803, 297.0, 81.97973201373954
285.54664528201016, 299.0, 91.23162316065489
292.4857410004675, 302.0, 88.97791751907377
299.16220735785953, 307.0, 81.3888416225486
302.9560741249142, 309.0, 77.74531740239165
306.14776632302403, 313.0, 75.62711519970817
309.95679824561404, 315.0, 77.52831753348792
292.41494845360825, 300.0, 81.57846285194398
281.1471444568869, 286.0, 89.93554781399217
269.3109649122807, 271.0, 92.41581167847714
267.71248246844317, 275.0, 97.84948793558283
276.8237402015678, 284.0, 98.75638387352855
295.28094257606955, 305.0, 92.87242759059222
311.2904815229563, 324.0, 95.92344867498868
297.8739076154807, 314.0, 97.88038423919747
289.5792759051186, 312.0, 95.16896345693903
284.18070034750065, 304.0, 95.26509369719749
284.5020080321285, 307.0, 91.02883840983769
279.381239242685, 308.0, 94.77687105900705
282.0498741706703, 308.0, 98.00337227006719
286.2608695652174, 311.0, 90.52922799021985
282.6536251709986, 308.0, 94.33276299863495
284.7652933832709, 307.0, 92.84098520200263
281.08313285217855, 302.0, 97.48788661574211
281.7850045167118, 304.0, 96.12282381318923
284.9356450191008, 306.0, 93.99160732170286
275.71495739053773, 303.0, 94.71621704636821
277.3574074074074, 301.0, 96.80857419527935
288.78428227746593, 311.0, 92.2235857376984
277.36918767507, 302.0, 93.65721725910011
271.2978947368421, 298.0, 99.04957129899773
289.0935574229692, 308.0, 91.97179684596705
277.69527250828065, 305.0, 100.46933466188027
280.67515605493134, 307.0, 96.28554907568352
274.98766494549625, 305.0, 102.0585683233584
281.4629049111808, 304.0, 102.18790410910401
283.95180722891564, 312.0, 106.53624938782265
284.68132911392405, 310.0, 99.67363213276244
281.6647966339411, 305.0, 101.9636737814414
274.94841675178753, 299.0, 96.8459513832764
284.993837535014, 307.0, 95.4993537814172
278.84272151898733, 301.0, 100.44589013871047
284.147195622435, 307.0, 100.00546196951451
280.0556001069233, 301.0, 94.03863293425036
273.1537037037037, 293.0, 95.74399612991175
275.7602996254682, 292.0, 95.6008476391473
270.9438202247191, 289.0, 90.52263339045497
268.3262800417973, 286.5, 95.86586582819506
271.8705882352941, 287.0, 93.1934542481491
268.45914198161387, 283.0, 95.89870387647696
275.65772913816687, 287.0, 91.90930046934228
263.5078369905956, 275.0, 94.40770202639435
251.3266106442577, 262.0, 101.2910264385333
255.227523531321, 273.0, 103.6768622107763
256.3796296296296, 267.0, 108.3904508338331
253.37396418070034, 255.0, 110.85812861036655
262.63975966562174, 274.0, 110.42874578977592
249.16394279877426, 258.0, 108.66602548247597
253.6793433652531, 270.0, 115.05930688713198
234.55920876770918, 226.0, 113.49528124704399
251.64733242134062, 264.0, 115.18307845621885
253.632183908046, 272.0, 117.36942944597197
245.36644137525712, 266.0, 116.45914942354841
242.8598101265823, 260.0, 116.33270556801331
243.53333333333333, 267.0, 118.03075672529847
237.52484191508583, 254.0, 109.36760292091377
264.79835953520166, 284.0, 113.193549169209
257.41021227768215, 279.0, 107.2185924286271
257.5611015490534, 280.0, 107.81591226117652
269.4827160493827, 287.5, 106.02790081222851
256.52426520847575, 271.0, 106.42301967752583
250.20234869015357, 266.0, 110.64028704336005
259.3779366700715, 277.0, 105.24620273639866
252.88283024991887, 267.0, 118.43161303397564
239.87512487512487, 252.0, 110.84310171324141
255.82023239917976, 273.0, 107.55137932264915
255.1955182072829, 267.5, 116.52427828952182
258.97306069457966, 276.0, 118.81403398535043
264.5592998955068, 280.0, 109.75426329830442
257.94208860759494, 282.0, 109.33572210070818
252.44148380355276, 266.0, 106.48494417787572
246.6297781341887, 268.0, 105.47257769933661
249.48809873640906, 265.0, 113.41165991278164
246.60082023239917, 266.0, 113.843205237224
252.08618331053353, 273.0, 108.19764285111862
258.8419150858175, 286.0, 105.31736069395738
255.76923076923077, 271.0, 102.84897559298861
234.35531466425775, 247.0, 109.66503532351197
256.42613846723435, 280.0, 102.16374127512509
260.36470588235295, 276.0, 108.2686527268574
255.23641456582632, 276.5, 103.90244625534541
261.6978947368421, 275.0, 114.53672189404817
259.86364972083453, 273.0, 114.34248107245625
257.3082574199236, 282.0, 111.3318664868031
246.65822784810126, 267.0, 104.4052585130101
254.52659418160448, 265.0, 101.85128906743294
249.46986721144023, 265.0, 97.33928301281641
263.03830369357047, 281.0, 105.29629439604422
265.18095238095236, 274.0, 107.2371544991561
257.18823529411765, 270.0, 106.06849632200817
269.50622710622713, 284.0, 98.65563693326341
275.99251537022184, 291.0, 105.06383007924106
246.66392009987516, 252.0, 105.40630814551623
247.86666666666667, 257.0, 100.30218908778845
254.24135802469135, 267.0, 105.27923373080701
272.53034728984096, 282.0, 104.82908828922878
251.73902821316614, 262.5, 100.9980268815008
258.175350140056, 269.0, 106.7471871733172
267.18711484593837, 283.0, 103.18425091986846
244.8544932079415, 257.0, 99.66821127493587
260.5608146873207, 268.0, 107.7819064570667
257.29213483146066, 269.0, 104.2998567198714
